Data da Venda;Região;Vendedor;Seção;Vendas;Comissões
21/07/2010;Sul;Ricardo;Móveis e Decoração;R$ 4.960,30;R$ 99,21
22/07/2010;Centro;Ricardo;Eletrônicos;R$ 1.086,37;R$ 21,73
22/07/2010;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 253,13;R$ 5,06
23/07/2010;Sudeste;Carolina;Casa e Construção;R$ 4.882,61;R$ 97,65
23/07/2010;Centro;João Carlos;Cine e Foto;R$ 4.286,86;R$ 85,74
24/07/2010;Oeste;Ana Maria;Casa e Construção;R$ 3.617,62;R$ 72,35
25/07/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 3.227,45;R$ 64,55
25/07/2010;Leste;João Carlos;Cama, Mesa e Banho;R$ 1.674,88;R$ 33,50
26/07/2010;Leste;João Carlos;Móveis e Decoração;R$ 4.053,29;R$ 81,07
27/07/2010;Leste;João Carlos;Eletrodomésticos;R$ 2.203,50;R$ 44,07
27/07/2010;Sudeste;Ricardo;Cama, Mesa e Banho;R$ 4.688,48;R$ 93,77
28/07/2010;Sul;João Carlos;Móveis e Decoração;R$ 1.638,34;R$ 32,77
29/07/2010;Centro;Ricardo;Casa e Construção;R$ 2.400,36;R$ 48,01
30/07/2010;Sudeste;João Carlos;Cine e Foto;R$ 3.995,67;R$ 79,91
30/07/2010;Centro;Carolina;Eletrodomésticos;R$ 1.638,68;R$ 32,77
30/07/2010;Leste;Adriana;Casa e Construção;R$ 209,43;R$ 4,19
31/07/2010;Centro;Carolina;Cine e Foto;R$ 4.047,52;R$ 80,95
01/08/2010;Centro;João Carlos;Roupas e Acessórios;R$ 4.532,31;R$ 90,65
02/08/2010;Norte;José Luiz;Cine e Foto;R$ 1.428,03;R$ 28,56
03/08/2010;Oeste;Adriana;Casa e Construção;R$ 2.090,53;R$ 41,81
03/08/2010;Sudeste;Ricardo;Utilidades Domésticas;R$ 3.497,93;R$ 69,96
05/08/2010;Sudeste;João Carlos;Utilidades Domésticas;R$ 1.106,46;R$ 22,13
05/08/2010;Nordeste;João Carlos;Utilidades Domésticas;R$ 2.383,13;R$ 47,66
06/08/2010;Centro;Roberto;Cama, Mesa e Banho;R$ 3.012,45;R$ 60,25
07/08/2010;Sudeste;José Luiz;Cine e Foto;R$ 4.666,75;R$ 93,34
07/08/2010;Sudeste;Simone;Móveis e Decoração;R$ 883,87;R$ 17,68
07/08/2010;Sudeste;Roberto;Eletrônicos;R$ 262,76;R$ 5,26
07/08/2010;Sul;Ana Maria;Esporte e Lazer;R$ 1.022,24;R$ 20,44
08/08/2010;Nordeste;José Luiz;Utilidades Domésticas;R$ 4.544,95;R$ 90,90
08/08/2010;Sudeste;Carolina;Cine e Foto;R$ 3.400,62;R$ 68,01
09/08/2010;Centro;João Carlos;Cine e Foto;R$ 3.132,89;R$ 62,66
09/08/2010;Leste;Ricardo;Utilidades Domésticas;R$ 729,02;R$ 14,58
10/08/2010;Nordeste;Ricardo;Esporte e Lazer;R$ 2.388,05;R$ 47,76
10/08/2010;Sudeste;José Luiz;Esporte e Lazer;R$ 202,71;R$ 4,05
10/08/2010;Centro;Simone;Esporte e Lazer;R$ 4.024,52;R$ 80,49
11/08/2010;Sul;Ana Maria;Casa e Construção;R$ 1.674,20;R$ 33,48
12/08/2010;Sudeste;Adriana;Utilidades Domésticas;R$ 2.526,41;R$ 50,53
12/08/2010;Leste;Ana Maria;Cine e Foto;R$ 3.807,52;R$ 76,15
13/08/2010;Sudeste;João Carlos;Roupas e Acessórios;R$ 1.887,44;R$ 37,75
13/08/2010;Centro;João Carlos;Eletrodomésticos;R$ 2.489,46;R$ 49,79
14/08/2010;Nordeste;Carolina;Eletrônicos;R$ 3.833,38;R$ 76,67
15/08/2010;Sul;Adriana;Utilidades Domésticas;R$ 351,73;R$ 7,03
15/08/2010;Sul;José Luiz;Eletrodomésticos;R$ 4.778,92;R$ 95,58
15/08/2010;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 4.531,40;R$ 90,63
16/08/2010;Norte;Adriana;Utilidades Domésticas;R$ 1.815,25;R$ 36,31
17/08/2010;Sul;Simone;Móveis e Decoração;R$ 3.307,32;R$ 66,15
18/08/2010;Sudeste;Simone;Eletrônicos;R$ 3.583,02;R$ 71,66
18/08/2010;Centro;Carolina;Eletrodomésticos;R$ 251,38;R$ 5,03
18/08/2010;Nordeste;Ricardo;Móveis e Decoração;R$ 4.515,95;R$ 90,32
19/08/2010;Sudeste;Adriana;Eletrodomésticos;R$ 1.337,18;R$ 26,74
20/08/2010;Leste;Ana Maria;Casa e Construção;R$ 890,26;R$ 17,81
22/08/2010;Sudeste;Ana Maria;Eletrodomésticos;R$ 3.911,57;R$ 78,23
22/08/2010;Leste;João Carlos;Roupas e Acessórios;R$ 2.165,89;R$ 43,32
22/08/2010;Sudeste;João Carlos;Utilidades Domésticas;R$ 2.552,66;R$ 51,05
23/08/2010;Norte;Simone;Cama, Mesa e Banho;R$ 4.628,43;R$ 92,57
24/08/2010;Norte;João Carlos;Roupas e Acessórios;R$ 3.217,13;R$ 64,34
25/08/2010;Oeste;João Carlos;Eletrodomésticos;R$ 3.952,74;R$ 79,05
25/08/2010;Leste;João Carlos;Cama, Mesa e Banho;R$ 3.840,37;R$ 76,81
26/08/2010;Sudeste;Ricardo;Cine e Foto;R$ 3.190,96;R$ 63,82
27/08/2010;Sul;João Carlos;Eletrodomésticos;R$ 2.979,55;R$ 59,59
27/08/2010;Nordeste;Roberto;Casa e Construção;R$ 3.185,51;R$ 63,71
28/08/2010;Leste;João Carlos;Cine e Foto;R$ 906,54;R$ 18,13
29/08/2010;Sudeste;Ricardo;Cine e Foto;R$ 3.625,77;R$ 72,52
30/08/2010;Leste;Carolina;Eletrodomésticos;R$ 3.841,32;R$ 76,83
30/08/2010;Oeste;Carolina;Eletrônicos;R$ 1.322,46;R$ 26,45
01/09/2010;Nordeste;João Carlos;Casa e Construção;R$ 3.112,65;R$ 62,25
02/09/2010;Sul;Ricardo;Cine e Foto;R$ 2.728,95;R$ 54,58
03/09/2010;Centro;Ana Maria;Roupas e Acessórios;R$ 2.528,01;R$ 50,56
04/09/2010;Leste;Ricardo;Cine e Foto;R$ 1.368,53;R$ 27,37
05/09/2010;Sudeste;Ana Maria;Eletrodomésticos;R$ 4.884,02;R$ 97,68
06/09/2010;Centro;João Carlos;Roupas e Acessórios;R$ 2.554,00;R$ 51,08
07/09/2010;Sudeste;Carolina;Móveis e Decoração;R$ 988,60;R$ 19,77
08/09/2010;Sudeste;Ricardo;Esporte e Lazer;R$ 2.274,67;R$ 45,49
09/09/2010;Sul;Ricardo;Eletrodomésticos;R$ 3.162,46;R$ 63,25
09/09/2010;Norte;João Carlos;Esporte e Lazer;R$ 4.544,43;R$ 90,89
10/09/2010;Sul;João Carlos;Móveis e Decoração;R$ 309,74;R$ 6,19
11/09/2010;Centro;José Luiz;Eletrônicos;R$ 3.964,01;R$ 79,28
11/09/2010;Nordeste;Carolina;Cine e Foto;R$ 2.397,99;R$ 47,96
12/09/2010;Centro;Ana Maria;Móveis e Decoração;R$ 4.638,30;R$ 92,77
13/09/2010;Sudeste;João Carlos;Eletrônicos;R$ 4.906,34;R$ 98,13
14/09/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 1.677,48;R$ 33,55
14/09/2010;Sul;Ana Maria;Utilidades Domésticas;R$ 249,28;R$ 4,99
14/09/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 1.412,84;R$ 28,26
15/09/2010;Sudeste;Carolina;Roupas e Acessórios;R$ 2.576,36;R$ 51,53
17/09/2010;Nordeste;Ricardo;Utilidades Domésticas;R$ 4.722,47;R$ 94,45
17/09/2010;Nordeste;Roberto;Roupas e Acessórios;R$ 3.393,21;R$ 67,86
17/09/2010;Centro;Ana Maria;Cine e Foto;R$ 4.123,99;R$ 82,48
19/09/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 1.202,92;R$ 24,06
22/09/2010;Nordeste;Adriana;Móveis e Decoração;R$ 2.693,46;R$ 53,87
23/09/2010;Oeste;João Carlos;Esporte e Lazer;R$ 1.192,20;R$ 23,84
23/09/2010;Centro;Carolina;Esporte e Lazer;R$ 1.585,25;R$ 31,71
23/09/2010;Centro;Carolina;Esporte e Lazer;R$ 3.895,91;R$ 77,92
23/09/2010;Nordeste;Ana Maria;Eletrônicos;R$ 2.183,25;R$ 43,67
26/09/2010;Leste;José Luiz;Roupas e Acessórios;R$ 2.917,83;R$ 58,36
26/09/2010;Sudeste;Carolina;Casa e Construção;R$ 4.210,21;R$ 84,20
26/09/2010;Sudeste;Ana Maria;Casa e Construção;R$ 239,69;R$ 4,79
27/09/2010;Nordeste;José Luiz;Eletrônicos;R$ 4.320,54;R$ 86,41
27/09/2010;Sul;José Luiz;Casa e Construção;R$ 3.059,45;R$ 61,19
28/09/2010;Nordeste;Ana Maria;Móveis e Decoração;R$ 1.899,72;R$ 37,99
28/09/2010;Nordeste;José Luiz;Eletrônicos;R$ 1.938,34;R$ 38,77
28/09/2010;Nordeste;João Carlos;Cama, Mesa e Banho;R$ 1.286,60;R$ 25,73
29/09/2010;Sudeste;Roberto;Roupas e Acessórios;R$ 796,16;R$ 15,92
29/09/2010;Nordeste;Carolina;Cama, Mesa e Banho;R$ 3.051,86;R$ 61,04
29/09/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 4.031,54;R$ 80,63
29/09/2010;Centro;Ana Maria;Utilidades Domésticas;R$ 1.573,94;R$ 31,48
29/09/2010;Centro;Carolina;Esporte e Lazer;R$ 1.391,69;R$ 27,83
30/09/2010;Centro;Carolina;Esporte e Lazer;R$ 1.869,88;R$ 37,40
03/10/2010;Centro;Roberto;Cama, Mesa e Banho;R$ 4.093,79;R$ 81,88
03/10/2010;Centro;Ana Maria;Móveis e Decoração;R$ 360,22;R$ 7,20
04/10/2010;Sul;João Carlos;Cama, Mesa e Banho;R$ 1.599,40;R$ 31,99
04/10/2010;Centro;Ana Maria;Cama, Mesa e Banho;R$ 2.361,53;R$ 47,23
05/10/2010;Nordeste;Carolina;Cama, Mesa e Banho;R$ 1.871,45;R$ 37,43
06/10/2010;Centro;Simone;Casa e Construção;R$ 2.668,22;R$ 53,36
06/10/2010;Norte;Carolina;Eletrônicos;R$ 2.227,39;R$ 44,55
06/10/2010;Nordeste;José Luiz;Casa e Construção;R$ 4.247,70;R$ 84,95
07/10/2010;Nordeste;Carolina;Roupas e Acessórios;R$ 538,81;R$ 10,78
07/10/2010;Nordeste;Ricardo;Roupas e Acessórios;R$ 4.200,02;R$ 84,00
07/10/2010;Oeste;Carolina;Utilidades Domésticas;R$ 2.787,45;R$ 55,75
11/10/2010;Centro;João Carlos;Casa e Construção;R$ 1.902,99;R$ 38,06
11/10/2010;Oeste;João Carlos;Cama, Mesa e Banho;R$ 1.452,52;R$ 29,05
12/10/2010;Centro;Adriana;Móveis e Decoração;R$ 2.626,43;R$ 52,53
13/10/2010;Nordeste;João Carlos;Móveis e Decoração;R$ 2.413,43;R$ 48,27
13/10/2010;Sudeste;Ana Maria;Móveis e Decoração;R$ 4.345,39;R$ 86,91
13/10/2010;Centro;Ricardo;Móveis e Decoração;R$ 3.689,67;R$ 73,79
14/10/2010;Nordeste;João Carlos;Cama, Mesa e Banho;R$ 3.947,95;R$ 78,96
14/10/2010;Sul;Ricardo;Utilidades Domésticas;R$ 3.973,01;R$ 79,46
17/10/2010;Sul;Roberto;Móveis e Decoração;R$ 2.298,15;R$ 45,96
18/10/2010;Sudeste;Ricardo;Eletrodomésticos;R$ 3.318,93;R$ 66,38
19/10/2010;Sul;Adriana;Roupas e Acessórios;R$ 3.114,50;R$ 62,29
19/10/2010;Norte;Simone;Cama, Mesa e Banho;R$ 966,99;R$ 19,34
21/10/2010;Sul;Simone;Móveis e Decoração;R$ 816,06;R$ 16,32
22/10/2010;Leste;Adriana;Casa e Construção;R$ 3.785,59;R$ 75,71
22/10/2010;Sul;Ricardo;Cine e Foto;R$ 2.926,76;R$ 58,54
23/10/2010;Norte;Ana Maria;Móveis e Decoração;R$ 340,11;R$ 6,80
23/10/2010;Nordeste;Ana Maria;Eletrônicos;R$ 1.458,92;R$ 29,18
25/10/2010;Sudeste;Simone;Roupas e Acessórios;R$ 2.710,43;R$ 54,21
25/10/2010;Centro;Ricardo;Casa e Construção;R$ 980,85;R$ 19,62
27/10/2010;Sul;João Carlos;Cine e Foto;R$ 3.512,08;R$ 70,24
27/10/2010;Sudeste;Simone;Roupas e Acessórios;R$ 1.506,25;R$ 30,13
27/10/2010;Sudeste;João Carlos;Eletrodomésticos;R$ 4.996,73;R$ 99,93
27/10/2010;Centro;Ana Maria;Móveis e Decoração;R$ 1.355,37;R$ 27,11
28/10/2010;Sul;Carolina;Esporte e Lazer;R$ 3.150,14;R$ 63,00
29/10/2010;Norte;Ricardo;Casa e Construção;R$ 1.816,42;R$ 36,33
29/10/2010;Nordeste;Adriana;Eletrodomésticos;R$ 3.353,33;R$ 67,07
29/10/2010;Sudeste;Ricardo;Esporte e Lazer;R$ 1.065,28;R$ 21,31
30/10/2010;Sul;Simone;Cama, Mesa e Banho;R$ 738,58;R$ 14,77
30/10/2010;Nordeste;Ricardo;Casa e Construção;R$ 4.452,61;R$ 89,05
31/10/2010;Sul;Roberto;Eletrônicos;R$ 3.622,16;R$ 72,44
31/10/2010;Sul;Carolina;Utilidades Domésticas;R$ 1.900,64;R$ 38,01
03/11/2010;Sul;Adriana;Eletrônicos;R$ 1.176,82;R$ 23,54
03/11/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 4.507,34;R$ 90,15
03/11/2010;Centro;Ana Maria;Esporte e Lazer;R$ 2.157,31;R$ 43,15
03/11/2010;Oeste;João Carlos;Roupas e Acessórios;R$ 3.437,51;R$ 68,75
04/11/2010;Nordeste;Adriana;Esporte e Lazer;R$ 3.306,50;R$ 66,13
04/11/2010;Leste;José Luiz;Móveis e Decoração;R$ 758,15;R$ 15,16
05/11/2010;Leste;Roberto;Móveis e Decoração;R$ 342,97;R$ 6,86
07/11/2010;Sul;Carolina;Eletrodomésticos;R$ 3.250,64;R$ 65,01
07/11/2010;Leste;Ana Maria;Cine e Foto;R$ 3.441,63;R$ 68,83
08/11/2010;Nordeste;Ricardo;Eletrônicos;R$ 2.399,10;R$ 47,98
08/11/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 747,19;R$ 14,94
09/11/2010;Sudeste;Carolina;Casa e Construção;R$ 3.371,35;R$ 67,43
10/11/2010;Norte;Ricardo;Eletrodomésticos;R$ 3.682,06;R$ 73,64
10/11/2010;Norte;Carolina;Utilidades Domésticas;R$ 2.606,25;R$ 52,13
11/11/2010;Nordeste;Ana Maria;Esporte e Lazer;R$ 4.794,52;R$ 95,89
12/11/2010;Norte;Carolina;Móveis e Decoração;R$ 1.866,98;R$ 37,34
12/11/2010;Nordeste;Ana Maria;Móveis e Decoração;R$ 1.733,93;R$ 34,68
13/11/2010;Centro;João Carlos;Utilidades Domésticas;R$ 4.821,29;R$ 96,43
13/11/2010;Centro;Carolina;Utilidades Domésticas;R$ 3.909,03;R$ 78,18
14/11/2010;Sul;Simone;Roupas e Acessórios;R$ 270,37;R$ 5,41
14/11/2010;Nordeste;Simone;Casa e Construção;R$ 3.063,57;R$ 61,27
17/11/2010;Norte;João Carlos;Esporte e Lazer;R$ 2.432,54;R$ 48,65
17/11/2010;Centro;Carolina;Esporte e Lazer;R$ 2.579,14;R$ 51,58
18/11/2010;Leste;Ana Maria;Eletrodomésticos;R$ 624,76;R$ 12,50
18/11/2010;Norte;João Carlos;Eletrodomésticos;R$ 4.744,48;R$ 94,89
19/11/2010;Norte;Ricardo;Roupas e Acessórios;R$ 1.956,29;R$ 39,13
20/11/2010;Centro;Adriana;Roupas e Acessórios;R$ 650,40;R$ 13,01
22/11/2010;Sudeste;João Carlos;Casa e Construção;R$ 2.956,98;R$ 59,14
22/11/2010;Leste;Adriana;Eletrônicos;R$ 2.122,55;R$ 42,45
23/11/2010;Oeste;Ricardo;Casa e Construção;R$ 3.425,16;R$ 68,50
23/11/2010;Norte;José Luiz;Eletrodomésticos;R$ 4.122,05;R$ 82,44
23/11/2010;Norte;Ricardo;Móveis e Decoração;R$ 3.614,64;R$ 72,29
24/11/2010;Nordeste;José Luiz;Utilidades Domésticas;R$ 3.115,59;R$ 62,31
24/11/2010;Sudeste;Ricardo;Eletrodomésticos;R$ 3.272,94;R$ 65,46
25/11/2010;Sul;Ricardo;Móveis e Decoração;R$ 707,09;R$ 14,14
25/11/2010;Centro;Ricardo;Cine e Foto;R$ 3.488,89;R$ 69,78
26/11/2010;Centro;Ana Maria;Utilidades Domésticas;R$ 4.230,48;R$ 84,61
26/11/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 4.988,04;R$ 99,76
26/11/2010;Sudeste;Roberto;Eletrônicos;R$ 2.285,04;R$ 45,70
27/11/2010;Centro;Simone;Eletrônicos;R$ 3.656,66;R$ 73,13
28/11/2010;Norte;João Carlos;Cine e Foto;R$ 4.756,46;R$ 95,13
28/11/2010;Sudeste;João Carlos;Utilidades Domésticas;R$ 2.984,69;R$ 59,69
29/11/2010;Sudeste;Simone;Eletrodomésticos;R$ 2.733,64;R$ 54,67
29/11/2010;Nordeste;Carolina;Esporte e Lazer;R$ 1.097,63;R$ 21,95
30/11/2010;Sul;Carolina;Cine e Foto;R$ 3.558,91;R$ 71,18
01/12/2010;Sudeste;João Carlos;Casa e Construção;R$ 4.572,76;R$ 91,46
01/12/2010;Oeste;João Carlos;Eletrônicos;R$ 2.933,37;R$ 58,67
01/12/2010;Sul;Carolina;Esporte e Lazer;R$ 1.734,21;R$ 34,68
02/12/2010;Centro;Ricardo;Cama, Mesa e Banho;R$ 1.173,73;R$ 23,47
02/12/2010;Sul;Ricardo;Utilidades Domésticas;R$ 1.551,48;R$ 31,03
02/12/2010;Norte;João Carlos;Móveis e Decoração;R$ 4.211,69;R$ 84,23
03/12/2010;Oeste;João Carlos;Casa e Construção;R$ 2.987,42;R$ 59,75
03/12/2010;Oeste;João Carlos;Eletrodomésticos;R$ 4.543,66;R$ 90,87
03/12/2010;Sudeste;Carolina;Cine e Foto;R$ 3.252,64;R$ 65,05
04/12/2010;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 4.781,39;R$ 95,63
04/12/2010;Sul;Ana Maria;Roupas e Acessórios;R$ 4.042,16;R$ 80,84
05/12/2010;Sudeste;Carolina;Cine e Foto;R$ 1.603,59;R$ 32,07
05/12/2010;Centro;Ana Maria;Eletrodomésticos;R$ 1.378,81;R$ 27,58
05/12/2010;Nordeste;Simone;Esporte e Lazer;R$ 1.145,82;R$ 22,92
06/12/2010;Centro;Ana Maria;Cine e Foto;R$ 319,05;R$ 6,38
07/12/2010;Centro;Ricardo;Utilidades Domésticas;R$ 459,62;R$ 9,19
09/12/2010;Leste;José Luiz;Eletrodomésticos;R$ 1.795,87;R$ 35,92
09/12/2010;Sul;João Carlos;Móveis e Decoração;R$ 1.037,06;R$ 20,74
10/12/2010;Norte;José Luiz;Casa e Construção;R$ 1.793,36;R$ 35,87
10/12/2010;Leste;Simone;Eletrônicos;R$ 4.875,31;R$ 97,51
11/12/2010;Nordeste;João Carlos;Eletrônicos;R$ 1.976,71;R$ 39,53
11/12/2010;Sudeste;Simone;Casa e Construção;R$ 1.228,64;R$ 24,57
11/12/2010;Centro;Carolina;Utilidades Domésticas;R$ 2.402,14;R$ 48,04
12/12/2010;Leste;Roberto;Roupas e Acessórios;R$ 737,45;R$ 14,75
13/12/2010;Centro;João Carlos;Eletrônicos;R$ 1.093,01;R$ 21,86
13/12/2010;Nordeste;João Carlos;Cama, Mesa e Banho;R$ 556,80;R$ 11,14
13/12/2010;Sudeste;Ricardo;Eletrodomésticos;R$ 3.824,24;R$ 76,48
14/12/2010;Nordeste;Ricardo;Roupas e Acessórios;R$ 4.138,77;R$ 82,78
14/12/2010;Sudeste;João Carlos;Cine e Foto;R$ 2.277,74;R$ 45,55
15/12/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 1.215,87;R$ 24,32
15/12/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 330,32;R$ 6,61
16/12/2010;Centro;José Luiz;Casa e Construção;R$ 4.829,69;R$ 96,59
16/12/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 3.772,05;R$ 75,44
17/12/2010;Centro;Carolina;Casa e Construção;R$ 4.507,05;R$ 90,14
17/12/2010;Nordeste;Ana Maria;Cama, Mesa e Banho;R$ 436,52;R$ 8,73
19/12/2010;Leste;João Carlos;Casa e Construção;R$ 4.331,58;R$ 86,63
19/12/2010;Oeste;Ana Maria;Roupas e Acessórios;R$ 3.799,43;R$ 75,99
19/12/2010;Sudeste;Roberto;Roupas e Acessórios;R$ 4.174,01;R$ 83,48
19/12/2010;Centro;Carolina;Roupas e Acessórios;R$ 3.483,99;R$ 69,68
20/12/2010;Sul;João Carlos;Cine e Foto;R$ 905,30;R$ 18,11
20/12/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 2.971,69;R$ 59,43
21/12/2010;Oeste;Ana Maria;Eletrônicos;R$ 758,81;R$ 15,18
22/12/2010;Nordeste;José Luiz;Casa e Construção;R$ 4.413,16;R$ 88,26
23/12/2010;Sudeste;Ana Maria;Esporte e Lazer;R$ 3.891,81;R$ 77,84
23/12/2010;Oeste;Simone;Móveis e Decoração;R$ 1.427,89;R$ 28,56
23/12/2010;Norte;Carolina;Eletrodomésticos;R$ 2.458,11;R$ 49,16
23/12/2010;Norte;Ana Maria;Casa e Construção;R$ 4.430,97;R$ 88,62
23/12/2010;Nordeste;João Carlos;Cine e Foto;R$ 2.013,77;R$ 40,28
24/12/2010;Centro;Carolina;Roupas e Acessórios;R$ 477,38;R$ 9,55
24/12/2010;Sudeste;Ricardo;Esporte e Lazer;R$ 794,14;R$ 15,88
24/12/2010;Nordeste;Ana Maria;Eletrônicos;R$ 2.644,09;R$ 52,88
24/12/2010;Norte;Ricardo;Cama, Mesa e Banho;R$ 2.023,89;R$ 40,48
25/12/2010;Sudeste;Roberto;Eletrodomésticos;R$ 2.476,55;R$ 49,53
26/12/2010;Leste;Roberto;Cine e Foto;R$ 1.547,99;R$ 30,96
28/12/2010;Centro;Ana Maria;Esporte e Lazer;R$ 2.297,24;R$ 45,94
28/12/2010;Nordeste;Carolina;Eletrodomésticos;R$ 1.091,72;R$ 21,83
29/12/2010;Nordeste;Ana Maria;Eletrodomésticos;R$ 563,64;R$ 11,27
29/12/2010;Nordeste;Ana Maria;Eletrodomésticos;R$ 2.443,17;R$ 48,86
29/12/2010;Sul;Simone;Esporte e Lazer;R$ 3.123,23;R$ 62,46
30/12/2010;Centro;Simone;Cine e Foto;R$ 3.318,37;R$ 66,37
30/12/2010;Sul;Ricardo;Eletrodomésticos;R$ 4.766,00;R$ 95,32
31/12/2010;Sudeste;Adriana;Eletrodomésticos;R$ 247,05;R$ 4,94
31/12/2010;Nordeste;João Carlos;Cine e Foto;R$ 1.690,31;R$ 33,81
01/01/2011;Leste;João Carlos;Roupas e Acessórios;R$ 4.819,02;R$ 96,38
02/01/2011;Sudeste;Ana Maria;Cama, Mesa e Banho;R$ 1.752,21;R$ 35,04
04/01/2011;Nordeste;João Carlos;Eletrodomésticos;R$ 368,13;R$ 7,36
05/01/2011;Nordeste;Ana Maria;Cine e Foto;R$ 939,57;R$ 18,79
05/01/2011;Sudeste;João Carlos;Casa e Construção;R$ 2.506,47;R$ 50,13
05/01/2011;Nordeste;Ana Maria;Cine e Foto;R$ 3.511,53;R$ 70,23
05/01/2011;Sul;Ana Maria;Móveis e Decoração;R$ 1.789,63;R$ 35,79
06/01/2011;Sul;Ricardo;Eletrônicos;R$ 250,72;R$ 5,01
06/01/2011;Nordeste;João Carlos;Eletrodomésticos;R$ 388,43;R$ 7,77
06/01/2011;Centro;Carolina;Esporte e Lazer;R$ 369,59;R$ 7,39
07/01/2011;Nordeste;Adriana;Utilidades Domésticas;R$ 2.287,25;R$ 45,75
07/01/2011;Oeste;Carolina;Eletrodomésticos;R$ 3.920,64;R$ 78,41
10/01/2011;Sudeste;João Carlos;Utilidades Domésticas;R$ 3.863,69;R$ 77,27
10/01/2011;Centro;João Carlos;Esporte e Lazer;R$ 534,37;R$ 10,69
10/01/2011;Sul;Ana Maria;Casa e Construção;R$ 916,95;R$ 18,34
10/01/2011;Sudeste;Ricardo;Móveis e Decoração;R$ 678,31;R$ 13,57
10/01/2011;Sudeste;Carolina;Roupas e Acessórios;R$ 3.475,18;R$ 69,50
11/01/2011;Nordeste;Roberto;Roupas e Acessórios;R$ 4.971,34;R$ 99,43
11/01/2011;Nordeste;Ana Maria;Eletrônicos;R$ 3.151,71;R$ 63,03
13/01/2011;Sul;João Carlos;Eletrodomésticos;R$ 4.541,67;R$ 90,83
14/01/2011;Leste;Ricardo;Roupas e Acessórios;R$ 4.658,75;R$ 93,18
16/01/2011;Oeste;Carolina;Cama, Mesa e Banho;R$ 3.060,56;R$ 61,21
17/01/2011;Sudeste;Simone;Utilidades Domésticas;R$ 783,76;R$ 15,68
17/01/2011;Sudeste;Ana Maria;Roupas e Acessórios;R$ 309,25;R$ 6,19
17/01/2011;Centro;José Luiz;Utilidades Domésticas;R$ 2.334,66;R$ 46,69
19/01/2011;Sudeste;Ricardo;Eletrodomésticos;R$ 813,86;R$ 16,28
20/01/2011;Centro;Ricardo;Cine e Foto;R$ 4.732,24;R$ 94,64
20/01/2011;Nordeste;Ricardo;Casa e Construção;R$ 2.608,31;R$ 52,17
20/01/2011;Sul;Adriana;Esporte e Lazer;R$ 4.837,71;R$ 96,75
20/01/2011;Nordeste;João Carlos;Esporte e Lazer;R$ 3.654,54;R$ 73,09
21/01/2011;Sudeste;Ana Maria;Casa e Construção;R$ 3.101,24;R$ 62,02
21/01/2011;Nordeste;Carolina;Cine e Foto;R$ 2.178,75;R$ 43,58
22/01/2011;Centro;Adriana;Casa e Construção;R$ 509,41;R$ 10,19
23/01/2011;Norte;Ricardo;Eletrodomésticos;R$ 3.716,31;R$ 74,33
24/01/2011;Oeste;José Luiz;Eletrônicos;R$ 3.236,02;R$ 64,72
24/01/2011;Norte;Carolina;Cama, Mesa e Banho;R$ 3.160,17;R$ 63,20
24/01/2011;Nordeste;João Carlos;Utilidades Domésticas;R$ 2.862,84;R$ 57,26
25/01/2011;Norte;João Carlos;Roupas e Acessórios;R$ 1.125,10;R$ 22,50
26/01/2011;Centro;Ricardo;Móveis e Decoração;R$ 1.014,13;R$ 20,28
27/01/2011;Leste;José Luiz;Esporte e Lazer;R$ 544,78;R$ 10,90
28/01/2011;Centro;João Carlos;Utilidades Domésticas;R$ 902,53;R$ 18,05
28/01/2011;Sudeste;João Carlos;Casa e Construção;R$ 303,66;R$ 6,07
29/01/2011;Leste;Ricardo;Cama, Mesa e Banho;R$ 3.293,15;R$ 65,86
31/01/2011;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 3.909,26;R$ 78,19
01/02/2011;Oeste;Carolina;Roupas e Acessórios;R$ 1.809,20;R$ 36,18
01/02/2011;Nordeste;Ricardo;Roupas e Acessórios;R$ 2.092,38;R$ 41,85
03/02/2011;Nordeste;João Carlos;Roupas e Acessórios;R$ 4.012,89;R$ 80,26
05/02/2011;Norte;José Luiz;Roupas e Acessórios;R$ 1.376,20;R$ 27,52
05/02/2011;Sudeste;João Carlos;Móveis e Decoração;R$ 1.098,55;R$ 21,97
06/02/2011;Sul;João Carlos;Esporte e Lazer;R$ 662,74;R$ 13,25
06/02/2011;Sudeste;Roberto;Roupas e Acessórios;R$ 2.123,67;R$ 42,47
06/02/2011;Oeste;Roberto;Eletrônicos;R$ 2.178,81;R$ 43,58
